,img,label
0,F:\DataSet\LEVIR\imageWithLabel\train\00004.jpg,F:\DataSet\LEVIR\imageWithLabel\train\00004.txt
1,F:\DataSet\LEVIR\imageWithLabel\train\00005.jpg,F:\DataSet\LEVIR\imageWithLabel\train\00005.txt
2,F:\DataSet\LEVIR\imageWithLabel\train\00008.jpg,F:\DataSet\LEVIR\imageWithLabel\train\00008.txt
3,F:\DataSet\LEVIR\imageWithLabel\train\00009.jpg,F:\DataSet\LEVIR\imageWithLabel\train\00009.txt
4,F:\DataSet\LEVIR\imageWithLabel\train\00012.jpg,F:\DataSet\LEVIR\imageWithLabel\train\00012.txt
5,F:\DataSet\LEVIR\imageWithLabel\train\00015.jpg,F:\DataSet\LEVIR\imageWithLabel\train\00015.txt
6,F:\DataSet\LEVIR\imageWithLabel\train\00016.jpg,F:\DataSet\LEVIR\imageWithLabel\train\00016.txt
7,F:\DataSet\LEVIR\imageWithLabel\train\00018.jpg,F:\DataSet\LEVIR\imageWithLabel\train\00018.txt
8,F:\DataSet\LEVIR\imageWithLabel\train\00019.jpg,F:\DataSet\LEVIR\imageWithLabel\train\00019.txt
9,F:\DataSet\LEVIR\imageWithLabel\train\00020.jpg,F:\DataSet\LEVIR\imageWithLabel\train\00020.txt
10,F:\DataSet\LEVIR\imageWithLabel\train\00021.jpg,F:\DataSet\LEVIR\imageWithLabel\train\00021.txt
11,F:\DataSet\LEVIR\imageWithLabel\train\00022.jpg,F:\DataSet\LEVIR\imageWithLabel\train\00022.txt
12,F:\DataSet\LEVIR\imageWithLabel\train\00023.jpg,F:\DataSet\LEVIR\imageWithLabel\train\00023.txt
13,F:\DataSet\LEVIR\imageWithLabel\train\00028.jpg,F:\DataSet\LEVIR\imageWithLabel\train\00028.txt
14,F:\DataSet\LEVIR\imageWithLabel\train\00030.jpg,F:\DataSet\LEVIR\imageWithLabel\train\00030.txt
15,F:\DataSet\LEVIR\imageWithLabel\train\00031.jpg,F:\DataSet\LEVIR\imageWithLabel\train\00031.txt
16,F:\DataSet\LEVIR\imageWithLabel\train\00032.jpg,F:\DataSet\LEVIR\imageWithLabel\train\00032.txt
17,F:\DataSet\LEVIR\imageWithLabel\train\00033.jpg,F:\DataSet\LEVIR\imageWithLabel\train\00033.txt
18,F:\DataSet\LEVIR\imageWithLabel\train\00036.jpg,F:\DataSet\LEVIR\imageWithLabel\train\00036.txt
19,F:\DataSet\LEVIR\imageWithLabel\train\00037.jpg,F:\DataSet\LEVIR\imageWithLabel\train\00037.txt
20,F:\DataSet\LEVIR\imageWithLabel\train\00038.jpg,F:\DataSet\LEVIR\imageWithLabel\train\00038.txt
21,F:\DataSet\LEVIR\imageWithLabel\train\00039.jpg,F:\DataSet\LEVIR\imageWithLabel\train\00039.txt
22,F:\DataSet\LEVIR\imageWithLabel\train\00040.jpg,F:\DataSet\LEVIR\imageWithLabel\train\00040.txt
23,F:\DataSet\LEVIR\imageWithLabel\train\00041.jpg,F:\DataSet\LEVIR\imageWithLabel\train\00041.txt
24,F:\DataSet\LEVIR\imageWithLabel\train\00042.jpg,F:\DataSet\LEVIR\imageWithLabel\train\00042.txt
25,F:\DataSet\LEVIR\imageWithLabel\train\00045.jpg,F:\DataSet\LEVIR\imageWithLabel\train\00045.txt
