,img,label
0,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\102_GF1B_20190430.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\102_GF1B_20190430.txt
1,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\102_GF1C_20190415.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\102_GF1C_20190415.txt
2,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\102_GF1D_20190515.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\102_GF1D_20190515.txt
3,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\102_GF1_20190618.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\102_GF1_20190618.txt
4,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\102_GF2_20190905.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\102_GF2_20190905.txt
5,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\102_GF6_20190731.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\102_GF6_20190731.txt
6,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\102_ZY302_20190703.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\102_ZY302_20190703.txt
7,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\103_GF1B_20181007.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\103_GF1B_20181007.txt
8,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\103_GF1C_20190505.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\103_GF1C_20190505.txt
9,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\103_GF1D_20190902.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\103_GF1D_20190902.txt
10,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\103_GF1_20190928.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\103_GF1_20190928.txt
11,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\103_GF2_20190831.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\103_GF2_20190831.txt
12,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\103_GF6_20190926.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\103_GF6_20190926.txt
13,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\103_ZY302_20191005.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\103_ZY302_20191005.txt
14,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\104_GF1B_20190916.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\104_GF1B_20190916.txt
15,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\104_GF1C_20190305.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\104_GF1C_20190305.txt
16,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\104_GF1D_20181120.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\104_GF1D_20181120.txt
17,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\104_GF1_20190614.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\104_GF1_20190614.txt
18,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\104_GF2_20191015.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\104_GF2_20191015.txt
19,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\104_GF6_20190731.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\104_GF6_20190731.txt
20,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\104_ZY302_20190312.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\104_ZY302_20190312.txt
21,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\105_GF1B_20190916.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\105_GF1B_20190916.txt
22,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\105_GF1C_20190305.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\105_GF1C_20190305.txt
23,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\105_GF1D_20181120.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\105_GF1D_20181120.txt
24,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\105_GF1_20190614.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\105_GF1_20190614.txt
25,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\105_GF2_20191113.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\105_GF2_20191113.txt
26,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\105_GF6_20190727.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\105_GF6_20190727.txt
27,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\105_ZY302_20190317.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\105_ZY302_20190317.txt
28,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\106_GF1B_20190916.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\106_GF1B_20190916.txt
29,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\106_GF1C_20190305.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\106_GF1C_20190305.txt
30,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\106_GF1D_20181120.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\106_GF1D_20181120.txt
31,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\106_GF1_20181019.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\106_GF1_20181019.txt
32,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\106_GF2_20191015.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\106_GF2_20191015.txt
33,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\106_GF6_20190727.tiff,F:\DataSet\WKK\sample_wkk_hb_BeiHang\8Bit\106_GF6_20190727.txt
